entry_id,source,native_dataset,old_domain,classification,target_direction,notes,evidence
E44,tonghuashun,fund_nav,fund.nav_snapshot,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E45,tonghuashun,hot_list,market.popularity_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E46,tonghuashun,skyrocket,market.rising_popularity_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E47,tonghuashun,hot_history,market.popularity_history_snapshot,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E48,tonghuashun,fund_quota_summary,fund.quota_summary_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E49,tonghuashun,fund_quota_list,fund.quota_list_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E50,tonghuashun,stock_daily,market.stock_daily_window,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E51,tonghuashun,etf_daily,market.etf_daily_window,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留；当前输入是前复权观察，不冒充未复权，锚点限制保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E52,tonghuashun,index_daily,market.index_daily_window,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E53,tonghuashun,fund_offerings,fund.offering_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E54,tonghuashun,fund_manager_experience,fund.manager_experience,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E55,tonghuashun,calendar,market.calendar,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E56,tonghuashun,index_catalog,index.category_snapshot,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E57,tonghuashun,index_constituents,index.constituent_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E58,tushare,etf_code_mapping_audits,operations.etf_mapping_audit,source_support,原始证据/审计保留，参与相应业务能力,不为每张来源辅助表再建一套正式副本；没有业务定义不得宣称全部可用,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E59,tushare,etf_daily_revision_audits,operations.etf_daily_revision,source_support,原始证据/审计保留，参与相应业务能力,不为每张来源辅助表再建一套正式副本；没有业务定义不得宣称全部可用,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E60,tushare,corporate_action_source_facts,operations.corporate_action_source_fact,source_support,原始证据/审计保留，参与相应业务能力,不为每张来源辅助表再建一套正式副本；没有业务定义不得宣称全部可用,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E61,tushare,corporate_action_facts,operations.corporate_action_fact,business,当前事件/状态事实；业务键去重,时间/单位/生效含义保留；事件缺失不推断无事件，记录更正替换而非留发布历史,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E62,tushare,corporate_action_coverage_facts,operations.corporate_action_coverage,source_support,原始证据/审计保留，参与相应业务能力,不为每张来源辅助表再建一套正式副本；没有业务定义不得宣称全部可用,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E63,tushare,trading_status_source_facts,operations.trading_status_source_fact,source_support,原始证据/审计保留，参与相应业务能力,不为每张来源辅助表再建一套正式副本；没有业务定义不得宣称全部可用,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E64,tushare,trading_status_facts,operations.trading_status_fact,business,当前事件/状态事实；业务键去重,时间/单位/生效含义保留；事件缺失不推断无事件，记录更正替换而非留发布历史,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E65,tushare,trading_status_coverage_facts,operations.trading_status_coverage,source_support,原始证据/审计保留，参与相应业务能力,不为每张来源辅助表再建一套正式副本；没有业务定义不得宣称全部可用,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E66,tushare,trading_status_revision_audits,operations.trading_status_revision,source_support,原始证据/审计保留，参与相应业务能力,不为每张来源辅助表再建一套正式副本；没有业务定义不得宣称全部可用,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E67,tushare,etf_directory,instrument.reference,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E68,tushare,exchange_calendar,market.calendar,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E69,tushare,etf_adjustment_factors,market.adjustment_factor,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E70,tushare,etf_daily,market.fund_daily,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E71,foundation,empty_local_scope,operations.empty_local_scope,remove_operational_pseudodataset,当前数据集空范围状态,不创建正式市场数据，旧空凭据数据丢弃,"R01 SOURCE_DATASETS; disposition is new design, not production result"
